step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,screenshot-20260602-at-23954-pm,0.5327454509635369,0.5006482294806611,0.9,,What is this Object?,"Pending Answer 
This object is an ancient artifact of the Nazca society. It is a ceramic vessel that’s round in shape with an opening at the top for what appears to be a handle and flamingo designs wrapping around the sides. It is relatively portable in size with the following dimensions:  height ~ 6”, diameter ~ 5.5” (at widest point), top width ~ 4.5”, large opening ~ 3x4”, and the small opening ~ 1x2”. Artifacts such as this one are recognizable of the Nazca people because it is an example of a polychrome ceramic, potteries that consist of three or more colors.",,Learn more,nazca-flamingo-ceramic-evd8-who-were-the.md,Go deeper,nazca-flamingo-ceramic-evd8-why-were-ceramicspottery.md,,,
2,screenshot-20260602-at-21940-pm,0.4697448741360495,0.4758765325899296,0.6030000000000001,,Where were the Nazca primarily located?,"The Nazca were located mainly on the Southern Coast of Peru in the Nazca River Valley. This area was made up of the Ica and Rio Grande de Nazca river valleys and separated by arid subtropical deserts. The landscape and weather in this region were very unpredictable with the appearance of droughts, extreme winds and heat, and mega floods. ",,Learn more,nazca-flamingo-ceramic-evd8-how-did-the.md,,,,,
3,screenshot-20260521-at-125028-pm,0.46951085785952573,0.5376294632483943,1,,When were Nazca ceramics produced?,"The earliest forms of Nazca ceramics spread rapidly around 200B.C. and continued to develop in places in the Nazca and in neighboring Rio Ica Valley. During this period, Nazca society was growing politically, economically, and religiously, which influenced the design and craftsmanship of their pottery. Ceramics were produced to communicate important cultural ideas. Through images of birds, animals, plants, and supernatural beings, the Nazca people expressed their belief about nature, agriculture and the spiritual world.",,Learn more,nazca-flamingo-ceramic-evd8-what-was-happening.md,Go deeper,nazca-flamingo-ceramic-evd8-how-did-these.md,,,
4,screenshot-20260526-at-30514-pm,0.3763304564517137,0.4956711824652122,2.668494749124854,,How were flamingos affiliated with Nazca culture?,"As mentioned above, the Nazca archaeological culture was located on the desert coast of Peru. The nearest South American species of flamingos are the Andean and the Puna Flamingo, both of which inhabit wetlands in the high Andes. Though the ranges of these birds are known to fluctuate seasonally, they do not commonly overlap with Nazca sites. If Flamingo and Nazca homelands were geographically apart, they must have interacted in another way. Perhaps Nazca traders encountered them during their travels, or visitors from other cultures brought back their own stories and imagery of this majestic bird. ",,Learn more,nazca-flamingo-ceramic-evd8-how-did-a.md,Go deeper,nazca-flamingo-ceramic-evd8-imagery-and-symbolism.md,,,
5,screenshot-20260526-at-30514-pm,0.4866059205791587,0.4757800066170396,1.3163992500000004,,How did the Nazca create this ceramic vessel?,"The Nazca culture built their ceramic vessels by hand since the pottery wheel didn’t exist in the pre-columbian Andes. This specific vessel used the coiling technique; potters would use a shallow plate or bowl to support their molding of the walls, they would basically have a tube/string of clay they would circle on top of each other starting from a spiral formation going outwards and inwards to achieve the desired shape, building the vessel walls layer by layer. They'd smooth the clay before adding additional features like handles or spouts separately, however in this case it seems they likely carved out and adjusted the surrounding clay for the openings. A distinguishable feature within Nazca ceramics is the use of slip paint before a piece is fired in the kiln, versus after like their Paracas predecessors who painted resin-based pigment after firing. The slip they used was made from finely ground minerals suspended in liquid clay and chemically bonded to the vessel during firing, producing durable pigmentation (harder to chip or fade). The vessel's outer layer would be rubbed into a polish with smooth stones before firing to create a glossy finish.",,Learn more,nazca-flamingo-ceramic-evd8-step5-layer1.md,,,,,
6,screenshot-20260603-at-34614-pm,0.5146696391747085,0.5090553621344592,0.9,,References,"Please click the next panel for sources used in this Story. ",,Learn more,nazca-flamingo-ceramic-evd8-sources-chicago-format.md,,,,,
